2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | _setup_root_logger:141 | ================================================================================
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | _setup_root_logger:142 | Sistema de Logging Iniciado - Arquivo: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs\CRIARTEMPLATE_20251127_171331.log
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | _setup_root_logger:143 | Modo: DESENVOLVIMENTO
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | _setup_root_logger:146 | Diretório de logs: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\logs
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | _setup_root_logger:147 | ================================================================================
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | main:121 | ================================================================================
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | main:122 | INICIANDO CRIARTEMPLATE
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | main:123 | Modo: DESENVOLVIMENTO
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | main:126 | ================================================================================
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | main:131 | Configurações carregadas. Diretório base: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | main:137 | Executando ranking diário...
2025-11-27 17:13:31 | INFO     | CRIARTEMPLATE | _run_ranking_diario:60 | Baixando planilha 'Meta por empresa geral' para o ranking diário...
2025-11-27 17:14:47 | INFO     | CRIARTEMPLATE | _run_ranking_diario:75 | Gerando ranking diário a partir de C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\meta_empresa_20251127.xlsx ...
2025-11-27 17:14:49 | INFO     | CRIARTEMPLATE | _run_ranking_diario:78 | ✅ Ranking diário gerado com sucesso: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_diario.png
2025-11-27 17:14:49 | INFO     | CRIARTEMPLATE | _run_ranking_diario:96 | Gerando ranking semanal...
2025-11-27 17:14:52 | INFO     | CRIARTEMPLATE | _run_ranking_diario:99 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p1.png
2025-11-27 17:14:52 | INFO     | CRIARTEMPLATE | _run_ranking_diario:99 | Ranking semanal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_semanal_p2.png
2025-11-27 17:14:52 | INFO     | CRIARTEMPLATE | _run_ranking_diario:104 | Gerando ranking mensal...
2025-11-27 17:14:56 | INFO     | CRIARTEMPLATE | _run_ranking_diario:107 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p1.png
2025-11-27 17:14:56 | INFO     | CRIARTEMPLATE | _run_ranking_diario:107 | Ranking mensal gerado: C:\Users\Usuario\Documents\Scripts\EM DESENVOLVIMENTO RankingLojas\data\ranking_mensal_p2.png
2025-11-27 17:14:56 | INFO     | CRIARTEMPLATE | main:140 | ================================================================================
2025-11-27 17:14:56 | INFO     | CRIARTEMPLATE | main:141 | FLUXO FINALIZADO COM SUCESSO
2025-11-27 17:14:56 | INFO     | CRIARTEMPLATE | main:142 | ================================================================================
